,numcode,VMAR_Group,ccode,country,VMAR_Region,year,GPOP,CPOP,GPRO,LANG,CUSTOM,BELIEF,RELIGS1,RACE,GROUPCON,GC119,GC2,GC6B,GC7,GC10,GC11,AUTLOST,YEARWT,MAGN,PRSTAT,AUTONEND,TRANSYR,SEPX,SEPKIN,EMIG,DISPLACE,POLDIS,ECDIS,CULPO1,CULPO2,GOJPA,AUTON2,AUTGAIN,AUTPRO,LEGISREP,EXECREP,GUARREP,POLGR,ECGR,CULGR,KINSUP,KINMATSUP,KINPOLSUP,KINMILSUP,STASUP,STAMATSUP,STAPOLSUP,STAMILSUP,NSASUP,NSAMATSUP,NSAPOLSUP,NSAMILSUP,INTRACON,FACTCC1,FACTSEV1,FACTCC2,FACTSEV2,FACTCC3,FACTSEV3,INTERCON,CCGROUP1,CCGROUPSEV1,CCGROUP2,CCGROUPSEV2,CCGROUP3,CCGROUPSEV3,PROT,REB,REPGENCIV,REPNVIOL,REPVIOL
1,7002,Mayans,70,Mexico,Latin America and the Caribbean,2004,3022836,104959594,0.0288,1,1,0,1,2,3,2,1,1,1,1,1,1,5,3,3,1901,1901,3,0,0,0,3,3,0,0,3,0,-99,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,3,0,0,0,0
2,7002,Mayans,70,Mexico,Latin America and the Caribbean,2005,3058644,106202903,0.0288,1,1,0,1,2,3,2,1,1,1,1,1,1,5,3,3,1901,1901,3,0,0,0,3,3,0,0,3,0,-99,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,2,0,0,0,0
3,7002,Mayans,70,Mexico,Latin America and the Caribbean,2006,3094546,107449525,0.0288,1,1,0,1,2,3,2,1,1,1,1,1,1,5,3,3,1901,1901,3,0,0,1,3,3,0,0,3,0,-99,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,EZLN and OPDDIC/Lacandon Maya,4,0,0,None,0,0,0,0,0,0,0,0,3,0,0,0,0
4,7003,Zapotecs,70,Mexico,Latin America and the Caribbean,2004,808189,104959594,0.0077,1,1,0,1,2,3,3,0,0,0,1,1,1,5,3,3,1521,1821,3,0,1,0,3,3,0,0,3,0,-99,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,-99,0,0,-99,0,-99,0,-99,0,4,0,0,0,0
5,7003,Zapotecs,70,Mexico,Latin America and the Caribbean,2005,817762,106202903,0.0077,1,1,0,1,2,3,3,0,0,0,1,1,1,5,3,3,1521,1821,3,0,1,0,3,3,0,0,3,0,-99,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,-99,0,0,-99,0,-99,0,-99,0,4,0,0,0,0
6,7003,Zapotecs,70,Mexico,Latin America and the Caribbean,2006,827361,107449525,0.0077,1,1,0,1,2,3,3,0,0,0,1,1,1,5,3,3,1521,1821,3,0,1,0,3,3,0,0,3,0,-99,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,-99,0,0,-99,0,-99,0,-99,0,5,0,0,4,0
7,7004,Other Indigenous Peoples,70,Mexico,Latin America and the Caribbean,2004,13676235,104959594,0.1303,1,1,0,1,2,0,2,0,0,0,1,1,1,5,3,3,1521,1821,3,0,1,0,3,3,0,0,2,0,-99,0,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,-99,0,0,-99,0,-99,0,-99,0,3,0,0,0,0
8,7004,Other Indigenous Peoples,70,Mexico,Latin America and the Caribbean,2005,13838238,106202903,0.1303,1,1,0,1,2,0,2,0,0,0,1,1,1,5,3,3,1521,1821,3,0,1,0,3,3,0,0,2,0,-99,0,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,-99,0,0,-99,0,-99,0,-99,0,3,0,0,0,0
9,7004,Other Indigenous Peoples,70,Mexico,Latin America and the Caribbean,2006,14000673,107449525,0.1303,1,1,0,1,2,0,2,0,0,0,1,1,1,5,3,3,1521,1821,3,0,1,0,3,3,0,0,2,0,-99,0,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,-99,0,0,-99,0,-99,0,-99,0,3,0,0,0,0
10,85003,Chinese,850,Indonesia,Asia,2004,6780124,226004132,0.03,1,1,2,8,1,1,4,0,0,0,1,3,0,3,1,0,-99,1945,0,0,0,0,4,3,0,0,2,0,-99,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0
11,85003,Chinese,850,Indonesia,Asia,2005,6866872,228895746,0.03,1,1,2,8,1,1,4,0,0,0,1,3,0,3,1,0,-99,1945,0,0,0,0,4,3,0,0,2,0,-99,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0
12,85003,Chinese,850,Indonesia,Asia,2006,6954607,231820243,0.03,1,1,2,8,1,1,4,0,0,0,1,3,0,3,1,0,-99,1945,0,0,0,0,4,3,0,0,2,0,-99,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,Sulawesians,2,,0,,0,0,0,0,0,0
13,85005,Papuans,850,Indonesia,Asia,2004,1152621,226004132,0.0051,1,1,2,3,3,3,2,1,3,3,2,3,2,2,2,3,1962,1963,3,0,1,2,1,4,0,0,4,1,2001,-99,0,0,0,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,the Nduga; Damal,3,the Wei and Dambo tribes,1,-99,0,1,immigrants,3,-99,0,-99,0,3,1,5,5,5
14,85005,Papuans,850,Indonesia,Asia,2005,1167368,228895746,0.0051,1,1,2,3,3,3,2,1,3,3,2,3,2,2,2,3,1962,1963,3,0,1,1,1,1,0,0,4,1,2001,-99,0,0,0,4,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,-99,0,-99,0,-99,0,0,immigrant,0,-99,0,-99,0,4,1,2,5,2
15,85005,Papuans,850,Indonesia,Asia,2006,1182283,231820243,0.0051,1,1,2,3,3,3,2,1,3,3,2,3,2,2,2,3,1962,1963,3,0,1,1,1,1,1,0,4,1,2001,-99,0,0,0,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,the Dani; Damal,3,-99,0,-99,0,0,immigrants,0,-99,0,-99,0,3,1,2,0,4
16,85006,Acehnese,850,Indonesia,Asia,2004,2576447,226004132,0.0114,1,1,0,5,1,3,2,1,3,3,2,1,1,5,3,3,1873,1950,3,0,1,1,1,1,0,0,4,0,-99,-99,0,1,0,4,2,1,0,0,0,0,1,1,0,0,1,1,0,0,1,GAM vs. non-GAM,4,-99,0,-99,0,1,Gayo,3,-99,0,-99,0,3,5,5,3,5
17,85006,Acehnese,850,Indonesia,Asia,2005,2609412,228895746,0.0114,1,1,0,5,1,3,2,1,3,3,2,1,1,5,3,3,1873,1950,3,0,1,2,1,1,0,0,4,0,-99,-99,0,1,0,4,2,1,0,0,0,0,1,1,1,0,1,1,1,0,1,GAM vs. non-GAM,4,-99,0,-99,0,0,-99,0,-99,0,-99,0,3,5,5,0,5
18,85006,Acehnese,850,Indonesia,Asia,2006,2642751,231820243,0.0114,1,1,0,5,1,3,2,1,3,3,2,1,1,5,3,3,1873,1950,3,0,0,1,1,1,0,0,3,1,2006,95,0,1,0,3,2,0,0,0,0,0,1,1,1,0,1,1,1,0,0,-99,0,-99,0,-99,0,0,-99,0,-99,0,-99,0,5,0,5,5,0